"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"Inside Out","Documents the daily activities of three individual who are coming to terms with their transgender identities and the related emotional and physical transformations while living in the Islamic Republic of Iran. Features intimate conversations with Maria (a male-to-female transsexual), Saman (female-to-male) and Arash (female-to-male), allowing them to tell their stories, including the lifelong struggle with their gender dysphoria, how this mind/body conflict has affected their everyday behavior, and the impact of hormone therapy and sex-change surgery on their lives. Directed by Zohreh Shayesteh. 2006. 39 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8650"">DVD 8650Ж","Transexuality, Intersexuality, and Gender Mutability"
"Related web sites:","â€¢149;Ѭ href=""http://frif.com/new2006/insi.html"">Description from First Run Icarus catalogЖ","Transexuality, Intersexuality, and Gender Mutability"
"Is it a Boy or a Girl?","Explores the medical management of infants born with ambiguous sexual anatomy and whether or not patients born with the disorder should be given the opportunity to choose their gender. Some argue that the standard practice of sexual assignment by surgery in infancy should be discontinued giving the intersexual the right to chose or not to chose surgery once that person reaches adolescence. Produced and written by Phyllis Ward. 2000. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8088"">DVD 8088Ж","Transexuality, Intersexuality, and Gender Mutability"
"Jareena: Portrait of a Hijda","Documents the life of a member of a transsexual sect, both at his home in the countryside and with a group of his fellows in a Hamam in Bangalore. Dist.: Ѭ href=""http://www.twn.org/record.cgi?recno=252"">Third World NewsreelЖ. 25 min. c1990. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2094"">DVD X2094Ж","Transexuality, Intersexuality, and Gender Mutability"
"Juggling Gender: Politics, Sex and Identity.","Features Jennifer Miller, juggler and director of Circus Amok. Miller speaks of her life and struggle as a lesbian woman who happens to have a moustache and beard. Includes scenes of circus performances, a gay rights parade, Miller interacting with friends, family, and strangers. A film by Tami Gold with Jennifer Miller. 1992. ; 
Reviews and articles:","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3540"">DVD X3540Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3548"">Video/C 3548Ж","Transexuality, Intersexuality, and Gender Mutability"
"â€¢149;Kafi, Shayda. ""Subverting the Myth of the Bearded Lady: Jennifer Miller and Circus Amok."" MP: An Online Feminist Journal Fall 2010, Vol 3 issue 2 Ѭ href=""http://academinist.org/wp-content/uploads/2010/06/MP03_02_03Kafai_Bearded.pdf"">Full-text of this article / review is available:Ж","â€¢149;Krawitz, Jan. ""Juggling Gender."" Journal of Film & Video, Summer-Fall93, Vol. 45 Issue 2/3, p113-115, 3p Ѭ href=""http://www.jstor.org/stable/20688011"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Straayer, Chris. ""Transgender Mirrors: Queering Sexual Difference."" In: Queer representations : reading lives, reading cultures : a Center for Lesbian and Gay Studies book / edited by Martin Duberman. New York : New York University Press, c1997. (Main (Gardner) Stacks NX650.H6 Q43 1997)","Transexuality, Intersexuality, and Gender Mutability"
"Still Juggling Gender, Still Bearded","Features Miller 15 years after the original documentary, discussing changes in her life and in society. Coney Island side show : Includes scenes of Circus Amok performances. A film by Tami Gold. 2008. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3540"">DVD X3540Ж","Transexuality, Intersexuality, and Gender Mutability"
"Let Me Die a Woman (1978)","Directed by Doris Wishman. Cast: Leslie, Deborah Hartin, Lisa Carmelle, Frank Pizzo, Harry Reems as Tim Long, Carol Sands, Billy Kelman, Doug Martin. A documentary-style film about transsexuals. Features the work of sex-change specialist Dr.Leo Wollman, including interviews with Dr.Wollman and a few of his patients, with an illustrated lecture on the various aspects of transsexuality plus actual footage of a sex-change operation, which is what gives the film its notoriety. 78 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5532"">DVD X5532Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0077848/"">Credits and other information from the Internet Movie DatabaseЖ","Transexuality, Intersexuality, and Gender Mutability"
"Matt Kailey: A Conversation","Matt Kailey, a female-to-male transsexual, explores the issues surrounding sexuality and gender identity. Speaking from the perspective of his own day-to-day life, he looks at the subtle and not-so-subtle ways in which biology, psychology and society shape our understanding of who we are. 2004. 20 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM80"">Video/C MM80Ж","Transexuality, Intersexuality, and Gender Mutability"
"Middle Sexes: Redefining He and She","Explores the lives of those who do not conform to rigid gender concepts and examines changes in brain science that are shedding light on grey areas between male and female. The film also explores the serious social and family problems--even dangers--often faced by those whose gender may fall somewhere in between male and female. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж c2006. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8698"">DVD 8698Ж","Transexuality, Intersexuality, and Gender Mutability"
"No Dumb Questions","The program follows three sisters, Ages 6, 9 and 11, as they struggle to understand why and how Uncle Bill is becoming Aunt Barbara. With just weeks until Bill's first visit as Barbara the sisters navigate the complex territories of anatomy, sexuality, personality, gender and fashion. Produced, directed & edited by Melissa Regan. 2001. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM928"">Video/C MM928Ж","Transexuality, Intersexuality, and Gender Mutability"
"Paper Dolls","After closing the border to Palestinian workers, Israeli authorities enticed foreigners to fill gaps in the job market. Filipinos in various stages of gender transition came as caregivers to elderly, orthodox Jewish men. These individuals who see themselves in a female persona, shunned by their families and communities at home, build new lives in Israel. On their nights off, the workers perform as a drag queen ensemble, 'Paper Dolls,' in Tel Aviv nightclubs. Although the troupe's members enjoy Israel's liberal atmosphere, they are still outsiders and are always treated as such. Directed by Tomer Heymann. 2006. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2101"">DVD X2101Ж","Transexuality, Intersexuality, and Gender Mutability"
"Paradise Bent: Boys will be Girls in Samoa","An exploration of the Samoan faafafine, boys who are raised as girls, who fulfill a traditional role in Samoan culture. In the past they have shared women's traditional work but today are becoming more westernized and look more like drag queens. Several anthropologists comment on the phenomenon examining issues of culture and gender and the complexities of sexual identity. Produced & directed by Heather Croall. c1999. 50 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3129"">DVD X3129Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8601"">Video/C 8601Ж","Transexuality, Intersexuality, and Gender Mutability"
"Related web sites:","â€¢149; Ѭ href=""http://www.filmakers.com/index.php?a=filmDetail&filmID=966"">Description from Filmakers Library catalogЖ","Transexuality, Intersexuality, and Gender Mutability"
"Reviews and articles:","â€¢149;Holmes, Lowell D. "" Paradise Bent."" American Anthropologist, 2000, Vol. 102 Issue 3, p604-605, 2p Ѭ href=""http://www.anthrosource.net/Abstract.aspx?issn=0002-7294&volume=102&issue=3&doubleissueno=0&article=229937&suppno=0&jstor=False"">Full-text of this article / review is available:UC users onlyЖ","Transexuality, Intersexuality, and Gender Mutability"
"Prodigal Sons","Returning home to Montana for her high school reunion, filmmaker Kimberly Reed (previously the school quarterback and now a transgender woman) hopes for reconciliation with her long-estranged adopted brother. But along the way she uncovers stunning revelations, intense sibling rivalries, and unforeseeable twists of plot and gender that force them to face challenges no one could imagine. Special features: Doc short: The Return of Prodigal Sons; questions & answers with Rick Moody & others; words from the family. Directed by Kimberly Reed. 2008. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5509"">DVD X5509Ж","Transexuality, Intersexuality, and Gender Mutability"
"Regretters","Regretters gives heartfelt voice to two transgendered people who underwent sex change surgery to become women. Now, years later, they would like to return to their original, masculine selves. Through their experiences we learn how very complicated gender identity is; morphing from one gender to another is not accomplished solely by sexual reassignment surgery. Orlando and Mikael are Swedish, now in their sixties. Meeting for the first time, they face one another on a stage and engage in a spontaneous dialogue. Orlando, an androgynous dandy dressed in a red velvet suit, had one of the first sex change operations in Sweden in 1967. He tells of his eleven year marriage to a man who never suspected that his wife had not been born female. Mikael, dressed as a man, underwent the surgery in the 1990's when he was fifty years old. He has tried to convince his doctors to change him back, as he feels desperately lost between genders, trapped inside a body that is not his. Written & directed by Marcus Lindeen. 2010. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6316"">DVD X6316Ж","Transexuality, Intersexuality, and Gender Mutability"
"Related web sites:","â€¢149; Ѭ href=""http://filmakers.com/index.php?a=filmDetail&filmID=1652"">Description from Filmakers Library catalogЖ","Transexuality, Intersexuality, and Gender Mutability"
"Sex: Unknown","Explores gender identity and gender reassignment with contributions of psychologists and researchers, and through personal insights from the Reimer family, including candid, heartrending interviews with JanetReimer and her son, who ultimately rejected his female identity and is now living as a man. Also includes the work of early sex researcher John Money who persuaded the Reimer parents to surgically alter their child after an accident destroyed his genitalia. 2001. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8922"">Video/C 8922Ж","Transexuality, Intersexuality, and Gender Mutability"
"â€¢149;Awards","â€¢149;American Library Association Video Round Table: Notable Videos for Adults","Transexuality, Intersexuality, and Gender Mutability"
"Reviews and articles:","â€¢149;Oberacker, J. S. ""Sex assignment surgery and the discourse of public television: The case of NOVA's Sex: Unknown"" Television & New Media, vol. 8, no. 1, pp. 25-48, 2007Full-text of this article / review is available:Ѭ href=""http://tvn.sagepub.com/cgi/reprint/8/1/25"">UCB users onlyЖ","Transexuality, Intersexuality, and Gender Mutability"
"Sexuality (Taboo series)","How far would you go to change your sexual identity? In Albania, a group of sworn virgins discard their female identities and live as men. In Thailand, a man changes his sex through surgery. In India, meet Mona, a eunuch. Originally broadcast on the National Georgaphic Channel in 2004. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1141"">DVD X1141Ж","Transexuality, Intersexuality, and Gender Mutability"
"She's a Boy I Knew","Using archival family footage, interviews, phone messages, and animation, Haworth's documentary begins in 2000 with Steven Haworth's decision to come out to his family about his life-long female gender identity. The resulting autoethnography is not only an exploration into the filmmaker's process of transition from biological male to female, from Steven to Gwen, but also an emotionally charged account of the individual experiences, struggles, and stakes that her two sisters, mother, father, best friend and wife brought to Gwen's transition. Produced and directed & edited by Gwen Haworth. c2008. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2387"">DVD X2387Ж","Transexuality, Intersexuality, and Gender Mutability"
"Shinjuku Boy","This documentary reveals the complexity of female sexuality in Japan through the lives of three annabes who work as hosts at the New Marilyn Club in Tokyo. Annabes are women who live as men and have girlfriends, although they don't usually identify themselves as lesbians. All three talk frankly about their gender-bending lives revealing their views about women, sex, transvestitism and lesbianism. Alternating with these interviews are sequences shot inside the club, patronized almost exclusively by heterosexual women who have become disappointed with men. A film by Kim Longinotto and Jano Williams. c1995. 53 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2397"">DVD X2397Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9127"">Video/C 9127Ж","Transexuality, Intersexuality, and Gender Mutability"
