"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"Hunza: The Legendary Land.","Presents the breath-taking beauty of the snow-capped mountains of the Karakoram Range and examines the architecture, folk culture, and traditions of the Wakhi and Burusho people of Hunza in Northern Pakistan. 1989. 38 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3736"">Video/C 3736Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"I Am a Sufi, I Am a Muslim.","The program travels to India, Pakistan, Turkey, and Macedonia to explore exactly what is Sufism and observe how it is practiced in various parts of the world today. Among the many aspects of Sufism featured in the program are the whirling dervishes of Turkey, who find God through ecstasy; ecstatic fakirs in Macedonia, where there is a big revival in popular Sufism; and the vital role of music in Sufism in India and Pakistan. The program also features Nusrat Ali Khan, the most famous performer of Qawali music. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1994. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5174"">Video/C 5174Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Identity: The Construction of Selfhood.","Explores the gamut of modes in which identities are produced, circulated and consumed within the modern urban Indian culture. Traversing a multi-cultural terrain inhabited by Paul Klee, A. K. Ramanujan, popular television commercials, the writings of riot-affected children, Michel Foucault, and poet Sant Kabir, this film is an invitation to examine the praxis of identity as a site of resistance and change. 1994. 20 min. PAL format 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+467"">Video/C 467Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"If You Pause in a Museum of Craft","A cinematic document of the reflections of the urban middle class on varied images and experiences while visiting the National Crafts Museum in New Delhi India and the concealed stories of the people behind the art and craft exhibitions. 2004. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X923"">DVD X923Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Images of India: The Land & People","This program explores India's diversity in her land, culture, religion, history, and daily life. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1998. 32 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6108"">Video/C 6108Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"In Gandhi's Footsteps: the Manibhai Desai/BAIF Story","Documentary on the life and philosophy of Manibhai Desai, 1920-1993, disciple of Mahatma Gandhi and founder of Bharatiya Agro-Industries Foundation (BAIF), created to improve the socio-economic conditions of the rural poor of India. PAL format. 1999. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7945"">Video/C 7945Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"In Memory of Friends.","Documents the violence and terror in Punjab, India - a land torn apart by religious fundamentalists and a repressive government. Focuses on the unlikely martyrdom of Bhagat Singh, a young socialist hanged by the British in 1931 at the age of 23. 1990. 60 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3098"">Video/C 3098Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.icarusfilms.com/cat97/f-j/in_memor.html"">Description from Icarus Films catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"In Search of Gandhi. (Why Democracy? Series)","In the early twentieth century, Mahatma Gandhi inspired millions of Indians to agitate for the establishment of a democratic and free India. In 2007, India celebrated the 60th anniversary of its existence as an independent nation. But what kind of democracy does India have today, and what does it mean to actually live in the world's largest democracy? Adopting the conventions of a road-movie, the film crew travels down the famous trail of Gandhi's salt march, stopping at the same villages and cities where Gandhi and his followers raised their call for independence... to document the stories of ordinary citizens in India today and to discover the current and future state of democracy in India. Dist. Ѭ href=""http://www.cinemaguild.com/"">Cinema GuildЖ. 2008. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X370"">DVD X370Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"In the Name of God.","Discusses the conflict in Ayodhya (Faizabad, India) between Hinduism and Islam and the drive to build a Hindu temple to Ram where a mosque currently exists. 1992. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2612"">Video/C 2612Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Incarnate Buddha Kings of the Dragon Country: Buddhism in Bhutan.","The focus of this presentation is on the development of Buddhism in Bhutan, which shown to be an integral part of the history of that country. 1991. 37 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2470"">Video/C 2470Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India. (Emerging Powers; 2)","Examines India's transformation from socialism to capitalism, from poverty to prosperity. Looks at India's liberalization program, large industrial base, nuclear energy program, and market reforms. Includes interviews with entrepreneurs such as Abdul Rehman, who makes satellite dishes, and Arya Bhattacherjee, founder of India's first computer chip design company and a tour of Bajaj Auto, India's largest scooter maker and a visit to the Bombay Stock Exhange. 1996. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4305"">Video/C 4305Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India After Independence.","This program covers the anxious years since India became independent in 1947: the rioting and bloodshed of the first few weeks of independence; Gandhi's assassination and its aftermath; India's invastion of Portuguese Goa and clash with Chinese forces along the northeast border; the death of Nehru; the war in Kashmir; the accession of Indira Gandhi; the creation of Bangladesh; violence by and against Sikhs; the events at the Golden Temple in Amritsar and the assassination of Indira Gandhi. 1990. 21 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4582"">Video/C 4582Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India Cabaret.","Examines the rules and double standards of India's patriarchal society. Focuses on a group of female strippers who work in a nightclub in the suburbs of Bombay and the customers who lead traditional family lives. Comparisions are drawn between the lives of the cabaret dancers and those of the ""virtuous Indian wife."" Film concludes as one of the dancers leaves the cabaret life to marry and become ""respectable"". Directed by Mira Nair. 1985. 60 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7101"">DVD X7101Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2568"">Video/C 2568Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://filmakers.com/index.php?a=filmDetail&filmID=108"">Filmakers Library catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Reviews and articles:","â€¢149;Nair, Mira. ""India Cabaret: Reflections and Reactions."" Discourse: Journal for Theoretical Studies in Media and Culture, vol. 8. 1986-1987 Fall-Winter. pp: 58-71.","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: Defying the Crown(Force More Powerful: A Century of Nonviolent Conflict)","In 1930, Indian nationalists were impatient with British foot-dragging on promises to move India toward self-rule, and appointed Mohandas Gandhi to lead ""the final struggle for freedom."" Relying on nonviolent methods he developed in South Africa, Gandhi empowered millons who followed his example and his campaign of civil disobedience swept the country, forcing the British to admit that their regime was losing control. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2000. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7373"">Video/C 7373Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India, Environment & Industry. (Geographical Eye Over Asia)","India's fast economic growth is creating pressures on the environment that are hard to resist. This program looks at the Dehra Dun Valley, where the mining of limestone for steel production has led to hazardous environmental pollution. Will the development in Dehra Dun be a model for the future? Can India afford to protect the quality of its environment? Can it afford not to? Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1996. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4585"">Video/C 4585Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India, Farming & Development. (Geographical Eye Over Asia)","Explores the changes in traditional farming in India by examining the case of a farmer and his family who live in the Trivandrum District of Kerala in the south of India. Here, farmers are moving away from the traditional cultivation of rice, to grow cash crops like spices and pineapples. The reasons are complex, but provide a fascinating insight into understanding farming in India. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1996. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4586"">Video/C 4586Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: From Moghuls to Independence.","Covers the history of India from the time of Genghis Khan's first extension of his domain beyond China, through the Mogul Empire to independence from the British Empire. 1990. 42 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4578"">Video/C 4578Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: Holy Cow","Women filmakers travel to India to find women who revel in their country's spiritual fabric and ethic of giving back, among them a cop who tempers rifle practice with meditation, a former journalist battling the sex trade in Mumbai, the first Indian woman to summit Everest, a labor union organizer, and a woman percussionist. c2001. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8524"">Video/C 8524Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: The Empire of the Spirit (Legacy.).","Ancient India is with us today in the living tradition of the Hindu religion, the basis of Indian culture. India has kept true to its ancient tradition of non-violence and spiritual search, even as it became part of the modern world. 1991. 57 min ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3018"">Video/C 3018Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India Inhales. (Life; 12)","Every day in India, another 55,000 children start smoking. This film explores the cynicism of the major global tobacco companies' campaigns in India with particular reference to the largest firm in India, ITC Limited. It also looks at the work of activists who have pledged to try to stop them -- and to halt the soaring increase in cancer cases in India that result from smoking. c2000. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7772"">Video/C 7772Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: The Little Serfs","This program spotlights the exploitation of children inIndia as bond slaves in the rug-weaving, bangle-making, quarrying, and gemstone-cutting industries and the measures being taken to eradicate this practice. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж c2000. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7840"">Video/C 7840Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: The Struggle for Independence: A History of India From the Moguls to the End of the British Empire","From the rise of the Moghul empire under Babur in 1526 to the setting of the sun on the British Raj in 1948, this program surveys four centuries of history during which India slowly but decisively shook off foreign rule. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1999. 30 min ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7033"">Video/C 7033Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India, The Textile Industry. (Geographical Eye Over Asia)","Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж1996. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4584"">Video/C 4584Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: The Turmoils of the Century.","This documentary film traces the history of the past 100 years of the Indian subcontinent. The film chronicles Ghandi's independence movement, World War II with the subsequent British withdrawal, and the partitioning of India and Pakistan in 1947. It details the religious riots and pogroms that followed and continue to plague such regions as Kashmir, Punjab, Assam and Sri Lanka. It follows the political fortunes of the Nehru and Bhutto families. In addition to detailing internal politics, the film also shows the role of India and Pakistan with regard to the Soviet Union and China. 1994. 120 min 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3961"">Video/C 3961Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"India: The Untouchables: The Small Secret of India","Today it is illegal in India to discriminate against Dalits, which literally means ""the oppressed,"" the term now commonly used to refer to India's former untouchables. Despite the legal abolition of untouchability a half-century ago, they continue to be the target of systematic discrimination and comprise a highly disproportionate percentage of India's illiterate, landless and jobless population. Dalits number 260 million Hindus, making caste discrimination one of the world's biggest human rights issues. The film describes several examples of caste discrimination and also discusses the landlord-sponsored militia, Ranbir Sena's Army, which is attacking agricultural laborers and their families, all of them Dalits. The Ranbir Sena says the Dalits will be targets unless they cease their agitation for better pay and land and repudiate the Naxhalites. These are Maoist armed-activists who have gained a following in parts of Bihar by assisting agricultural workers in organizing and defending themselves from landlord violence. Produced and directed by Yorgos Avgeropoulos. 2006. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8685"">DVD 8685Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://filmakers.com/indivs/Untouchables.htm"">Description from Filmakers Library catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
